Name,Address,Website,Phone
Hotel Saiprasad Executive,"Ramlal Chowk, 8/2, Railway Lines Road, Railway lines, Solapur",https://satarabazar.com/ad.php?id=MzEwMg==,073500 12586
Hotel Vikas Restro-Bar,"65, Station Road, Railway lines, Sidheshwar Peth, Solapur",N/A,098901 60991
Durga Cafe,"Boy's Hostel, Chippa Complex, Near Old Walchand Complex, New Paccha peth, Sakhar Peth, Solapur",http://durgacafe.com/,084214 44477
Hotel Priyanka Family Restaurant,"Civil Chowk, 131, opp. Civil Court, Sidheshwar Peth, Solapur",https://sites.google.com/view/hotelpriyanka,N/A
Hotel Vikas Palace,27 / 118 Hyderabad Road Opp. Old Boramani Naka Raviwar Peth,http://www.hotelvikaspalacesolapur.justdial.com/,090282 58806
Sky View,"710/5B2 Wellness Zone 940/1 Rupa Bhavani Road North Sadar Bazar, Rupa Bhavani Road, Solapur",N/A,N/A
"Smokin' Joe'S Fresh Pizza, Solapur","Garud Bunglow, Millenium Star Shop No.05 Rupa Bhavani Road Opposite, Rupa Bhavani Road, South Sadar Bazar, Jawaharlal Housing Society, Solapur",https://www.facebook.com/smokinjoesfreshpizzasolapur,0217 231 9777
Yakhani Biryani | Solapur,"Shop No. 1 & 2, Millenium Square, opp. Garud Bunglow, below SS Mobile communication, near Domino's Pizza, LGF, Sat Rasta, Solapur",N/A,N/A
Juice Galaxy,"near LFC School, Laxmi Villa 7, near LFC School, Sanjay Gandhi Nagar Road, Chowk, Solapur",N/A,0217 231 8831
Brewbakes Cafe Solapur,"Near Dayanand College, Shop No 33, Chirag Residency, 255 Raviwar Peth, Near Dayanand College, Solapur",N/A,093736 35050
Supriya Jumbo Vada Pav Center,"MWC3+53J, Sidheshwar Temple Area, Solapur",N/A,N/A
Monginis Cake Shop,"Shop No 3, Complex 157/2, Patwardhan, Railway Line, Solapur",https://cakeshops.monginis.net/monginis-cake-shop-namdev-corporation-cake-shop-railway-lines-solapur-133106/Home,N/A
Corner Crunch,"Jawaharlal Nehru Vastigraha 10 Babasaheb Ambedkar Chowk, Murarji Peth, Solapur",http://www.cornercrunch.com/,099210 52222
Chick Blast,"shop No. 1, Vitrag Vertex Apartment, opp. Naval Petrol Pump, Railway lines, Solapur",N/A,094031 83040
Preeti Dining Hall,"145, 1B Railway Lines, DRM Office Road, Old Employment Chowk, Solapur",N/A,094225 22953
Hotel Priyanka,"MWQ9+22F, Market Yard Road, Madde Vasti, Solapur",N/A,N/A
Cafe Middle East,"near Lokmat office, B-21, Hotgi Road, Basaweshwar Nagar, Midc, Solapur",N/A,094210 41162
McDonald's,"Solapur Oasis Mall Hardcastle Restaurant Pvt Ltd McDonald's Family Restaurant Gr.Floor, Meena Theatre, Murarji Peth, Solapur",https://mcdelivery.co.in/restaurants/solapur/339/order-food-online-in-McDonalds-solapuroasismall-murarjipeth,089563 66060
Sugaran,"Station Road, Railway lines, Solapur",N/A,093250 94664
Oasis Mall,"11/A, Surana Market Road, OLd Police Line, Murarji Peth, Solapur",https://www.facebook.com/profile.php?id=100025324388432,N/A
Hotel Radhe Krishna Executive,"near Kalpana Talkies, 20/6, Murarji Peth, Solapur",N/A,N/A
"Kamini Hotel, Solapur","MV4W+579, Bhushan Nagar, Solapur",N/A,088883 34380
Jamshri Realty Limited,"opposite Indradhanu, Jamshri Complex, opposite Indradhanu, Damani Nagar, Solapur",https://jamshri.in/,022 4315 2424
Laziz Pizza,"near Govindshree Mangal Karyalaya, Shop no.1, Sanchi Complex Jule, near Govindshree Mangal Karyalaya, Solapur Road, Waman Nagar, Solapur",https://lazizpizza.com/,099239 79698
Hotel City Park Solapur,"119, Near, Char Hutatma Chowk, Murarji Peth, Solapur",N/A,098672 70247
"Domino's Pizza | Keshav Nagra, Solapur","Ground Floor, Showroom No.1165 Millenium Square, Railway Line, Rupa Bhavani Road, Solapur",https://www.dominos.co.in/store-locations/solapur/millenium-square?src=local_gmb&utm_source=Google_GMB&utm_medium=GMB_SEO_urls_website,1800 208 1234
Hotel Vaishnavi solapur,"93/C SH-151 Opposite Bhagwat Theatre Murarji Peth, Goldfinch Peth, Solapur",http://hotelvaishnavi.com/,0217 232 0541
Hotel Aishwarya,"125 NH-13 Near Saraswati Chowk Budhavar Peth, Murarji Peth, Solapur",N/A,077448 82823
Hotel Ajanta,"Mechanic Chowk, opposite Bhagwat Theater, Solapur",N/A,098816 26200
Balaji Tea & Amrapali Snacks Corner,"Maisamma mandir,near Ashok chowk Police station, Solapur",N/A,095816 09960
Naadbramha Idli - Ashok chowk,"04, Rishi Pearl Apartment, Police Station, near Ashok Chowk, Old, Near Walchand College, New Paccha peth, Road, Solapur",https://naadbramha.com/,086258 72564
Mahesh fast food centre,"college, Ashok chowk police station walchnd, road, Solapur",N/A,N/A
Motu Patlu Food Corner,"MW8C+FVR, MIDC Road, New Paccha peth, Sakhar Peth, Solapur",N/A,099210 63311
Shri Bhojnalay,"New Paccha peth, Sakhar Peth, Solapur",N/A,080879 46247
