Name,Address,Website,Phone
Citizen Hotel,"960, Juhu Tara Road, Beach, Juhu, Mumbai",http://www.citizenhotelmumbai.com/,022 6693 2525
Oriental Residency,"PD Hinduja Road, Marg, Khar West, Mumbai",http://www.theorientalresidency.com/,022 4248 8888
Hotel Bawa International,"Plot No, Terminal 1, Near, 2087, Nehru Road, Extn, Vile Parle East, Vile Parle, Mumbai",https://www.bawahotels.com/bawa-international-vile-parle-mumbai/,022 6939 3636
Trident Hotel Bandra Kurla,"C 56, G Block BKC, Bandra East, Mumbai",https://www.tridenthotels.com/hotels-in-mumbai-bandra-kurla?utm_source=GMBlisting&utm_medium=organic,022 6672 7777
Hotel Lucky,"Bld no-9, Bandra Junction of S.V. Road, &, Hill Road, Bandra West, Mumbai",https://www.luckyhotels.in/,099206 37033
Hotel Rangsharda,"near Lilavati Hospital, Rangsharda Marg, Bandra Reclamation Flyover, Bandra West, Mumbai",N/A,022 6852 1919
Lucky Restaurant,"9, Hill Road, S.V. Road, Bandra West, Mumbai",http://www.luckyhotels.in/,098200 66471
Super Townhouse Khar The Unicontinental,"At The Habitat Comedy Club, Railway Station, near Khar West, Road Number 3, Khar West, Mumbai",https://www.oyorooms.com/173034/,098335 77557
Soma,"Vicinity, BANK OF INDIA STAR AVAS, Hotel and Residences, Grand Hyatt, Off, Western Express Highway, Santacruz East, Mumbai",https://www.hyattrestaurants.com/en/dining/india/mumbai/indian-restaurant-in-bkc-soma,022 6676 1673
Punjabi Tadka,"Plot No. 3, Kohinoor Road, Dadar (E), Opp. Swami Narayan Temple, Mumbai",N/A,N/A
Mid-Land China,"Geetanjali Building, above Domino’s pizza, Lady Jamshedji Road, Mahim (W), Mumbai",N/A,091374 32083
Hotel Sahara Star,"Chhatrapati Shivaji International, 70-C, Nehru Road, Airport Area, Vile Parle, Mumbai",http://www.saharastar.com/,022 3989 5000
Escobar,"4th Floor, VN Sphere Mall, 199, Linking Road, Bandra West, Mumbai",https://www.escobar.in/,098679 11911
Hakkasan,"2nd Floor, Krystal Building, Waterfield Road, Bandra West, Mumbai",https://hakkasan.com/mumbai/,083558 77777
Rama Krishna Restaurant,"148, Nehru Road, Vile Parle East, Vile Parle, Mumbai",http://www.rkhotels.com/,022 2612 4721
C'est La Vie Mumbai,"next to Holy Family Hospital, 164, Hill Road, Bandra West, Mumbai",http://www.cestlavie.co.in/,022 6132 2222
Candies,"next to Learners Academy School, 5AA Pali Hill, Bandra (W), next to Learners Academy School, Mumbai",http://www.candiescafe.com/,085911 49713
Bonobo,"2nd floor, Kenilworth Plaza, Off, Linking Road, Phase II, Bandra West, Mumbai",N/A,096199 30030
"Domino's Pizza | Bandra West, Mumbai","Shop No. 1, Ground Floor, Mangal Bhavan, Plot No. 614, 14th Road, Khar, Bandra West, Mumbai",https://www.dominos.co.in/store-locations/mumbai/bandra?src=local_gmb&utm_source=Google_GMB&utm_medium=GMB_SEO_urls_website,1800 208 1234
The Spice Girl (Clothing Store),"Shop Number 1-B, Maru Sadan, opp. Kohinoor Sequare, near Shiv Sena Bhavan, N. C. Kelkar Marg, Dadar West, Mumbai",N/A,077382 57400
McDonald's,"Star Mall, N. C. Kelkar Marg, Dadar, Mumbai",https://mcdelivery.co.in/restaurants/mumbai/104/order-food-online-in-McDonalds-dadarstarmall-dadarnckelkarroad,089283 04149
Ray's Cafe & Pizzeria,"133, Gazebo House, Hill Road, Bandra West, Mumbai",http://www.rayscafeandpizzeria.com/,093220 03288
Peninsula,"118, Thomas Villa Opp. Cine Planet (Rupam Cinema, Sion East, Mumbai",N/A,022 2407 8200
Kobe Sizzlers,"near Andrew's Chruch, No-95, Fernandes Villa, Hill Road, Bandra West, near Andrew's Chruch, Mumbai",https://kobesizzlers.ca/our-global-presence/,093245 30017
Olive Bar and Kitchen,"14, Nargis Dutt Road, Union Park, Khar West, Mumbai",https://www.olivebarandkitchen.com/,072084 78228
IMBISS Meating Joint,"Shop # 5, Ben O Lil Haven, opp. Bob Tailor, 14, Waroda Road, Bandra West, Mumbai",N/A,084549 46413
Aradhana Coastal Delight,"Khar Road Railway Station, Fakruddin Manzil, near Khar West, Road Number 3, Khar West, Mumbai",N/A,097693 87619
Joseph’s Tandoori Kitchen,"Sai Prarthana Apartments, Shivneri SRA CHS Ltd, 29th Road, Pali Village, Bandra West, Mumbai",N/A,075061 81511
Saayba Hotel,"Shop No 1 & 2, Zarina CHS, Swami Vivekananda Road, Bandra West, Mumbai",http://facebook.com/saaybahotel,088796 68320
Rahul Hotel,"Shop 19, 201, Anand Bhuvan, Takandas Kataria Marg, Mahim, Mumbai",N/A,022 2445 5697
Monginis Cake Shop,"Shop No 10, opposite Kabutar Khana, 2nd Road, Khar West, Mumbai",https://cakeshops.monginis.net/monginis-cake-shop-veedee-foods-khar-west-cake-shop-khar-west-mumbai-82390/Home?utm_source=locator&utm_medium=googleplaces,090824 32728
Cheron Caterers,"Khaushe House, 1/2-237, 20th B Road, Dandpada, Khar Danda, Mumbai",https://bawazest.in/,098201 48263
D Sharma Punjab,"Shop No. 8 & 9, Shiv Shakthi Building, 4th Road, Khar West, Mumbai",N/A,022 2646 2727
Barista,"Shop No.2, Bandstand Apartments, near Mannat Building, Byramji Jeejeebhoy Road, Mount Mary, Bandra West, Mumbai",https://stores.barista.co.in/store-pages/barista-coffee-bandra-west-mumbai/,093193 92273
Lassi Te Parrontthe,"Behind WOW Popcorn, Cafe Coffee Day building, Gagangiri Premises B-Wing corner, khau Galli, Carter road, towards, Union Park, Khar West, Mumbai",https://www.facebook.com/desighee,098926 12728
Swagat Pure Veg,"Sushila Sadan, opp. Shopper's Stop, 228, Linking Road, Bandra West, Mumbai",N/A,N/A
Cafe Arfa Hotel,"2RVX+C7R, Dharavi Main Road, Shammi Nagar, Dharavi, Mumbai",N/A,095947 04310
Gourmet Store,"Grand Hyatt Mumbai Hotel and Residences Bandra Kurla Complex Vicinity, Off, Western Urban Road, Santacruz East, Mumbai",https://www.hyattrestaurants.com/en/dining/india/mumbai/bakery-restaurant-in-BKC-gourmet-store?utm_source=gmblisting_grandhyattmumbai&utm_medium=Gourmet%20Store&utm_campaign=gmb,022 6676 1673
The Park Club Ltd.,"opposite to Scout Hall, Keluskar Road North, Dadar West, Shivaji Park, Mumbai",N/A,098202 81274
Flavors Just 2 Good,"next to KFC, Shop No.3, Kenilworth Arcade, Linking Road, Opposite Croma, Bandra West, next to KFC, Mumbai",http://www.flavorsofmumbai.com/,099876 45817
New Shanghai,"Ground Floor, Fashqua Shopping Center, opp. Bhagwan Collection, Shop No. 4, Santacruz Railway Station Road, Santacruz (West), Mumbai",N/A,086920 58905
