Name,Address,Website,Phone
"Domino's Pizza | Wanawadi, Pune","Shivam Apartments, GROUND FLOOR WING D, 17, Vitthal Rao Shivarkar Road, Wanwadi, Pune",https://www.dominos.co.in/store-location/pune/wanawadi,1800 208 1234
Subway,"Shop No. 16, Adlabs Multiplex, Marigold complex, Kalyani Nagar, Pune",https://www.subway.com/en-in,072760 66995
Bhagyashree Restaurant,"Plot No. 169/1+2+3, Tupe Nagar, behind Suzlon Co, Pune",N/A,081491 08787
TJ's Brew Works,"East Block, Level, 2, Amanora Town Centre, Hadapsar, Pune",N/A,095080 37956
Squisito - The Italian Ristorante,"Jewel Tower, Lane Number 5, Koregaon Park, Pune",https://www.squisitoindia.com/,099219 70461
"Domino's Pizza | Kharadi, Pune","Survey No. 13, Shop No. 4 and 5, Upper Ground Floor, गोल्ड प्लाज़ा, Mundhwa - Kharadi Road, Raghavendra Nagar, Kharadi, Pune",https://www.dominos.co.in/store-location/pune/gold-plaza-kharadi,1800 208 1234
Pollo Campero,"Amanora Town Centre, Amanora Park Town, Hadapsar, Pune",http://www.campero.com/,0124 466 5434
CAFE NEW DIAMOND,"1, Magarpatta, Hadapsar, Pune",N/A,088305 17061
Vaishali Hotel,"Shop no 14, Chintamani Plaza, Solapur - Pune Highway, Gajanan Colony, Utkarsh Nagar, Hadapsar, Pune",N/A,084593 70312
Hotel Aaswad,"Pune - Solapur Road, Gadital, Hadapsar, Pune",N/A,020 2699 3486
Priyanka Restaurant,"Shop No 3 & 4, Building No B/6, Utkarshnagar Co-operative Ltd, Gadital, Hadapsar, Pune",N/A,020 2699 3618
Naturals Ice Cream,"72/73 A, near Kedari Petrol Pump, 13, Green Valley Road, Wanowrie, Pune",https://naturalicecreams.in/,086682 74495
Choice Only Veg,"Pancharatna Apartment, Bhairobanala, Solapur Road, Wanowrie, Pune",https://www.zomato.com/pune/choice-only-veg-fatima-nagar,020 2686 1692
bashree hotel behind SBI Bank & SBI ATM.Hadapsar Pune.,"GW5G+HC6, Magarpatta, Hadapsar, Pune",N/A,N/A
Little India,"Shop 23, 24, DC Road, Magarpatta, Hadapsar, Pune",N/A,088550 44924
Happy Crust,"BT-18, DC Road, Magarpatta, Hadapsar, Pune",N/A,099223 88855
Faaso's,"Closed, SHOP NO-23 DESTINATION CENTER UPPER GROUND FLOOR, Magarpatta, Pune",N/A,077000 20020
Pushpa Ganga,"Shop no 1/2, sr no 150, tilekar vasti, magarpatta road, 28, Pune",N/A,099221 80938
Authentic Royal Restaurant,"institute of yoga, Authentic Royal Restaurant Behind Noble Hospital, Opposite Shriyog, Bypass Road, Magarpatta, Hadapsar, Pune",N/A,090283 90888
Kalyan Bhel,"Laxmi Vihar, Hadapsar, Pune",https://kalyanbhel.in/,093717 11112
Treebo Trend Park View - Hotel in Hadapsar Pune,"behind Laxman Villa, S. No. 161, GP Pradhan Garden Road, Bhosale Nagar, Hadapsar, Pune",https://www.treebo.com/hotels-in-pune/treebo-trend-park-view-hadapsar-221/?utm_source=partnerships&utm_medium=gplus&utm_campaign=hotelparkview,093228 00100
Rasika Restaurant,"Shop No. 7, Bhosales Garden's, Aru Nagar, Triveni Nagar, Hadapsar, Pune",N/A,N/A
Hotel Sagar,"Shop No 2-3, Deveshree Heights P-H1, Vaiduwadi, Hadapsar,, Pune",N/A,N/A
Apna Punjab,"next to bharat petrol pump, 1, Magarpatta Road, Magarpatta, Hadapsar, Pune",http://apnapunjabpune.com/,092849 11503
Chulbul Dhaba,"beside BP Petrol Pump, Sr.No.141, beside BP Petrol Pump, opposite North Main Gate, Magarpatta, Pune",http://www.chulbuldhaba.com/,083900 10062
"Domino's Pizza | North Hadapsar, Pune","Ground Floor, S.No. 151 Green Harvest, HISSA NO.15 Kharadi South Main Road Magarpatta City, North Hadapsar, CTS NO.4421, Pune",https://www.dominos.co.in/store-location/,1800 208 1234
Cafe Arabia - Seasons Mall,"3rd Floor, Seasons Mall Hadapsar, Magarpatta, Hadapsar, Pune",N/A,096233 11115
Rolls Mania,"Unit No. T4A, 3rd Floor, Food court, Seasons mall, Magarpatta, Hadapsar, Pune",http://rollsmania.com/,096073 28855
"Pizza Hut | Magarpatta, Pune","No 01, Green Harvest, 140/11 & 13, Bldg, Magarpatta, Hadapsar, Pune",https://restaurants.pizzahut.co.in/pizza-hut-hadapsar-pizza-delivery-hadapsar-pune-1370/Home?utm_source=locator&utm_medium=googleplaces,084849 87320
KFC,"1st Floor, SEASONS MALL, Magarpatta, Hadapsar, Pune",https://online.kfc.co.in/,N/A
Wah Marathi,"3rd Floor, SEASONS MALL, Magarpatta Police Station Road, Magarpatta, Hadapsar, Pune",http://www.wahmarathi.com/,020 6722 5566
BARISTA COFFEE COMPANY,"SEASONS MALL, 1st Floor, Shop No.S 35 B, Magarpatta Police Station Road, Magarpatta, Pune",http://www.barista.co.in/,N/A
Eagle Boys,"Shop 138, Seasons Mall, Mundwa-Kharadi Road, Hadapsar, Pune",N/A,020 6686 4000
Subway,"Shop NO C6, 3rd Floor, Seasion Mall, Magarpatta Police Station Road, Magarpatta, Hadapsar, Pune",http://www.subway.com/en-IN,020 6723 8530
